No.,Time,Source,Destination,Protocol,Length,Info,,,,,,,,,,,,,,,time 2,time 1,delay 1,delay 2,jiter
75,25.342873,69.171.250.60,192.168.43.53,TLSv1.2,180,Application Data,,,,,,,,,,,,,,,25.38297,25.342873,0.040097,1.415005,1.374908
76,25.38297,192.168.43.53,69.171.250.60,TCP,54,53246  >  443 [ACK] Seq=1 Ack=911 Win=64370 Len=0,,,,,,,,,,,,,,,26.797975,25.38297,1.415005,0.00011,1.414895
79,26.797975,104.214.78.152,192.168.43.53,TCP,66,"443  >  53439 [FIN, ACK] Seq=1 Ack=149 Win=3988 Len=0 TSval=513527719 TSecr=116592528",,,,,,,,,,,,,,,26.798085,26.797975,0.00011,0.000247,0.000137
80,26.798085,192.168.43.53,104.214.78.152,TCP,66,53439  >  443 [ACK] Seq=149 Ack=2 Win=65160 Len=0 TSval=116595427 TSecr=513527719,,,,,,,,,,,,,,,26.798332,26.798085,0.000247,0.00074,0.000493
81,26.798332,192.168.43.53,104.214.78.152,TCP,66,"53439  >  443 [FIN, ACK] Seq=149 Ack=2 Win=65160 Len=0 TSval=116595427 TSecr=513527719",,,,,,,,,,,,,,,26.799072,26.798332,0.00074,0.046929,0.046189
82,26.799072,192.168.43.53,104.214.78.152,TCP,74,53440  >  443 [SYN] Seq=0 Win=65160 Len=0 MSS=1460 WS=256 SACK_PERM=1 TSval=116595427 TSecr=0,,,,,,,,,,,,,,,26.846001,26.799072,0.046929,0.006703,0.040226
83,26.846001,104.214.78.152,192.168.43.53,TCP,66,443  >  53439 [ACK] Seq=2 Ack=150 Win=3988 Len=0 TSval=513527767 TSecr=116595427,,,,,,,,,,,,,,,26.852704,26.846001,0.006703,0.000153,0.00655
84,26.852704,104.214.78.152,192.168.43.53,TCP,70,"443  >  53440 [SYN, ACK] Seq=0 Ack=1 Win=4380 Len=0 MSS=1360 SACK_PERM=1 TSval=3018861600 TSecr=116595427",,,,,,,,,,,,,,,26.852857,26.852704,0.000153,0.001018,0.000865
85,26.852857,192.168.43.53,104.214.78.152,TCP,66,53440  >  443 [ACK] Seq=1 Ack=1 Win=65160 Len=0 TSval=116595482 TSecr=3018861600,,,,,,,,,,,,,,,26.853875,26.852857,0.001018,0.053458,0.05244
86,26.853875,192.168.43.53,104.214.78.152,SSLv3,118,Client Hello,,,,,,,,,,,,,,,26.907333,26.853875,0.053458,1.1551,1.101642
87,26.907333,104.214.78.152,192.168.43.53,TCP,66,443  >  53440 [ACK] Seq=1 Ack=53 Win=3892 Len=0 TSval=3018861600 TSecr=116595482,,,,,,,,,,,,,,,28.062433,26.907333,1.1551,0.052859,1.102241
88,28.062433,69.171.250.60,192.168.43.53,TLSv1.2,143,Application Data,,,,,,,,,,,,,,,28.115292,28.062433,0.052859,1.553916,1.501057
89,28.115292,192.168.43.53,69.171.250.60,TCP,54,53246  >  443 [ACK] Seq=1 Ack=1000 Win=64281 Len=0,,,,,,,,,,,,,,,29.669208,28.115292,1.553916,0.000108,1.553808
90,29.669208,104.214.78.152,192.168.43.53,TCP,66,"443  >  53440 [FIN, ACK] Seq=1 Ack=53 Win=3892 Len=0 TSval=3018864256 TSecr=116595482",,,,,,,,,,,,,,,29.669316,29.669208,0.000108,0.000509,0.000401
91,29.669316,192.168.43.53,104.214.78.152,TCP,66,53440  >  443 [ACK] Seq=53 Ack=2 Win=65160 Len=0 TSval=116598298 TSecr=3018864256,,,,,,,,,,,,,,,29.669825,29.669316,0.000509,0.119156,0.118647
92,29.669825,192.168.43.53,104.214.78.152,TCP,66,"53440  >  443 [FIN, ACK] Seq=53 Ack=2 Win=65160 Len=0 TSval=116598298 TSecr=3018864256",,,,,,,,,,,,,,,29.788981,29.669825,0.119156,6.574682,6.455526
93,29.788981,104.214.78.152,192.168.43.53,TCP,66,443  >  53440 [ACK] Seq=2 Ack=54 Win=3892 Len=0 TSval=3018864446 TSecr=116598298,,,,,,,,,,,,,,,36.363663,29.788981,6.574682,0.00048,6.574202
94,36.363663,192.168.43.53,172.217.194.138,TLSv1.2,173,Application Data,,,,,,,,,,,,,,,36.364143,36.363663,0.00048,0.000393,8.7E-05
95,36.364143,192.168.43.53,172.217.194.138,TLSv1.2,93,Application Data,,,,,,,,,,,,,,,36.364536,36.364143,0.000393,0,0.000393
96,36.364536,192.168.43.53,172.217.194.138,TCP,1414,53432  >  443 [ACK] Seq=1742 Ack=777 Win=64504 Len=1360 [TCP segment of a reassembled PDU],,,,,,,,,,,,,,,36.364536,36.364536,0,0.306725,0.306725
97,36.364536,192.168.43.53,172.217.194.138,TLSv1.2,79,Application Data,,,,,,,,,,,,,,,36.671261,36.364536,0.306725,0.312437,0.005712
98,36.671261,192.168.43.53,172.217.194.138,TCP,1414,"[TCP Retransmission] 53432  >  443 [PSH, ACK] Seq=1767 Ack=777 Win=64504 Len=1360",,,,,,,,,,,,,,,36.983698,36.671261,0.312437,0.612259,0.299822
99,36.983698,192.168.43.53,172.217.194.138,TCP,1414,"[TCP Retransmission] 53432  >  443 [PSH, ACK] Seq=1584 Ack=777 Win=64504 Len=1360",,,,,,,,,,,,,,,37.595957,36.983698,0.612259,0.643961,0.031702
